CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
QuAKU,AL,Jahr,0,123,0,30
ROTA,AL,Jahr,0,123,0,0
A1MU,AL,Jahr,0,123,0,12
ALBI,AL,Jahr,0,1,30,52
ALBI,AL,Jahr,1,123,35,62
B2MS,AL,Jahr,0,60,"0,8","2,4"
B2MS,AL,Jahr,61,123,0,3
B2MU,AL,Jahr,0,123,0,"0,3"
B12,AL,Jahr,0,1,220,1400
B12,AL,Jahr,2,3,400,1200
B12,AL,Jahr,4,123,175,700
FOLS,AL,Jahr,0,1,6,23
FOLS,AL,Jahr,1,123,5,16
VITD,AL,Jahr,0,123,30,100
HCY,AL,Jahr,0,123,4,10
IGAS,AL,Tag,0,7,"0,01","0,06"
IGAS,AL,Woche,1,12,"0,05","0,34"
IGAS,AL,Monat,3,12,"0,1","0,9"
IGAS,AL,Jahr,1,6,"0,2","2,2"
IGAS,AL,Jahr,6,16,"0,4",3
IGAS,AL,Jahr,16,123,"0,7",5
IGMS,AL,Tag,0,7,"0,06","0,21"
IGMS,AL,Woche,1,24,"0,17","0,66"
IGMS,AL,Monat,5,12,"0,26","1,2"
IGMS,AL,Jahr,1,6,"0,4",2
IGMS,AL,Jahr,7,18,"0,6","2,6"
IGMS,AL,Jahr,19,123,"0,4","2,3"
IGGS,AL,Tag,0,7,"6,6","17,5"
IGGS,AL,Woche,1,4,"3,9","10,5"
IGGS,AL,Monat,1,6,2,7
IGGS,AL,Monat,6,12,"2,9","9,5"
IGGS,AL,Jahr,1,6,"3,6",14
IGGS,AL,Jahr,6,18,"5,9","15,5"
IGGS,AL,Jahr,18,123,7,16
IGMN,AL,Tag,0,7,"0,06","0,21"
IGMN,AL,Woche,1,24,"0,17","0,66"
IGMN,AL,Monat,5,12,"0,26","1,2"
IGMN,AL,Jahr,1,6,"0,4",2
IGMN,AL,Jahr,7,18,"0,6","2,6"
IGMN,AL,Jahr,19,123,"0,4","2,3"
IGAN,AL,Tag,0,7,"0,01","0,06"
IGAN,AL,Woche,1,12,"0,05","0,34"
IGAN,AL,Monat,3,12,"0,1","0,9"
IGAN,AL,Jahr,1,6,"0,2","2,2"
IGAN,AL,Jahr,6,16,"0,4",3
IGAN,AL,Jahr,16,123,"0,7",5
HPXS,AL,Jahr,0,14,"0,4","1,3"
HPXS,AL,Jahr,15,123,"0,5","1,2"
HAPS,AL,Monat,0,12,"0,02",3
HAPS,AL,Jahr,1,16,"0,2",2
HAPS,AL,Jahr,16,123,"0,3",2
MYO,AL,Jahr,0,123,20,60
CKma,AL,Jahr,0,1,0,6
CKma,W,Jahr,1,123,0,"3,8"
CKma,M,Jahr,1,123,0,"6,7"
TNT,AL,Jahr,0,123,0,"0,014"
TNTS,AL,Jahr,0,123,0,14
COPE,M,Jahr,0,123,0,10
COPE,W,Jahr,0,123,0,10
FER,AL,Monat,0,1,150,450
FER,AL,Monat,2,3,80,500
FER,AL,Monat,3,12,20,200
FER,AL,Jahr,1,6,20,200
FER,M,Jahr,7,123,30,400
FER,W,Jahr,7,49,15,150
FER,W,Jahr,50,123,20,400
QuFER,AL,Jahr,0,123,0,"3,2"
HC25,AL,Jahr,0,123,1,"39,3"
PSA,M,Jahr,1,40,0,4
PSA,M,Jahr,40,123,0,4
fPSA,M,Jahr,15,123,0,1
PSAQ,M,Jahr,15,123,20,40
S100,AL,Jahr,0,123,"0,02","0,105"
NSE,AL,Jahr,0,123,0,16
CA125,AL,Jahr,0,123,0,35
CA153,AL,Jahr,0,120,0,27
CA199,AL,Jahr,1,120,0,27
CEA,AL,Jahr,0,120,0,5
CYF,AL,Jahr,0,120,0,"3,3"
C3,AL,Tag,0,7,"0,61","1,27"
C3,AL,Woche,1,52,"0,7","1,8"
C3,AL,Jahr,1,123,"0,9","1,8"
C4,AL,Tag,0,6,"0,14","0,37"
C4,AL,Woche,1,8,"0,07","0,24"
